English;Polish
The quick brown fox jumps over the lazy dog.;Szybki brązowy lis przeskakuje leniwego psa.
My Mum tries to be cool by saying that she likes all the same things that I do.;Moja mam stara się być wyluzowana, mówiąc, że lubi te same rzeczy, co ja. 
A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.;Fioletowa świnia i zielony osioł puszczali latawiec w środku nocy i skończyli spaleni słońcem.
Last Friday I saw a spotted striped blue worm shake hands with a legless lizard.;W zeszły piątek widziałem, jak niebieski robak w cętki uścisnął dłoń beznogiej jaszczurce.
A song can make or ruin a person's day if they let it get to them.;Piosenka może poprawić lub zrujnować komuś dzień, jeśli tylko na to pozwolić.
Sometimes it is better to just walk away from things and go back to them later when you're in a better frame of mind.;Czasami lepiej jest po prostu odejść od rzeczy i wrócić do nich później, gdy będziesz w lepszym nastroju.
Writing a list of random sentences is harder than I initially thought it would be.;Napisanie listy losowych zdań jest trudniejsze niż początkowo myślałem.
Lets all be unique together until we realise we are all the same.;Wszyscy razem bądźmy wyjątkowi, dopóki nie zdamy sobie sprawy, że wszyscy jesteśmy tacy sami.
If I don't like something, I'll stay away from it.;Jeśli coś mi się nie podoba, trzymam się od tego z daleka.
I love eating toasted cheese and tuna sandwiches.;Uwielbiam jeść tosty z serem i kanapki z tuńczykiem.
If you like tuna and tomato sauce- try combining the two.;Jeśli lubisz tuńczyka i sos pomidorowy - spróbuj połączyć te dwie rzeczy.
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn. ;Ktoś, kogo znam, niedawno połączył syrop klonowy z maślanym popcornem, myśląc, że będzie smakował jak karmelowy popcorn.
Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn't so bad after all.;Czasami wszystko, co musisz zrobić, to całkowicie zrobić z siebie durnia i śmiać się z tego, aby zdać sobie sprawę, że życie wcale nie jest takie złe.
When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.;Kiedy byłem mały, drzwi samochodu zatrzasnęły mi się na ręce i wciąż bardzo dobrze to pamiętam.
The clock within this blog and the clock on my laptop are 1 hour different from each other.;Zegar na tym blogu i zegar na moim laptopie różnią się o 1 godzinę.
I want to buy a onesieâ€¦ but know it won't suit me.;Chcę kupić kombinezon... ale wiem, że nie będzie na mnie pasować.
I was very proud of my nickname throughout high school but today- I couldn't be any different to what my nickname was.;Byłem bardzo dumny z mojego ksywki przez całe liceum, ale dzisiaj – nie mógłbym już bardziej różnić się od tego, co oznaczała.
I currently have 4 windows open up... and I don't know why.;Obecnie mam otwarte 4 okna... i nie wiem dlaczego.
I often see the time 11:11 or 12:34 on clocks.;Często widzę na zegarach godzinę 11:11 lub 12:34.
This is the last random sentence I will be writing and I am going to stop mid-sent;To ostatnie losowe zdanie, które napiszę i zamierzam przerwać w połowie.
We need to rent a room for our party.;Musimy wynająć salę na naszą imprezę.
Yeah, I think it's a good environment for learning English.;Tak, myślę, że to dobre środowisko do nauki angielskiego.
The lake is a long way from here.;Jezioro jest daleko stąd.
This is a Japanese doll.;To jest japońska lalka.
I hear that Nancy is very pretty.;Słyszałem, że Nancy jest bardzo ładna.
She was too short to see over the fence.;Była zbyt niska, by widzieć przez płot.
