English;Polish
"""I didn't know what to wear to my best friend's funeral.""";"""Nie wiedziałem, co założyć na pogrzeb mojego najlepszego przyjaciela."""
"""There used to be a big cherry tree behind my house.""";"""Kiedyś za moim domem rosła duża wiśnia."""
"""Sometimes, books and movies made her feel things she couldn't explain.""";"""Czasami książki i filmy wywoływały w niej uczucia, których nie potrafiła wyjaśnić."""
"""My bandaid wasn't sticky anymore so it fell off on the way to school.""";"""Mój plaster przestał się kleić, więc odpadł w drodze do szkoły."""
"""He only had one drink but he's completely wasted.""";"""Wypił tylko jednego drinka, ale jest kompletnie pijany."""
"""In Hong Kong, everyone lives stacked together.""";"""W Hongkongu wszyscy mieszkają ściśnięci jeden na drugim."""
"""Her parents had been separated for almost three years but she never expected them to actually go through with the divorce.""";"""Jej rodzice byli rozdzieleni od prawie trzech lat ale nigdy nie spodziewała się, że faktycznie przejdą przez rozwód."""
"""These are the things that I want from a relationship.""";"""To są rzeczy, których chcę w związku."""
"""When one considers the issue from a different perspective, the answer seems to change.""";"""Kiedy rozważa się tę kwestię z innej perspektywy, odpowiedź wydaje się zmieniać."""
"""She twisted her ankle and couldn't go to soccer anymore.""";"""Ona skręciła kostkę i nie mogła już chodzić na piłkę nożną."""
"""You can always find baked goods somewhere in my pantry.""";"""Zawsze możesz znaleźć gdzieś w mojej spiżarni wypieki."""
"""The alligator's teeth were so scary that I ran back to the car as fast as I could.""";"""Zęby aligatora były tak przerażające że pobiegłem do samochodu najszybciej, jak mogłem."""
"""They sold shampoo and conditioner but no plain soap.""";"""Sprzedawali szampon i odżywkę, ale nie mieli zwykłego mydła."""
"""She got a discount to buy the stickers online.""";"""Ona dostała zniżkę na zakup naklejek online."""
"""Once you master cooking you will start tweaking popular recipes, and that is when it becomes even more fun.""";"""Kiedy opanujesz gotowanie zaczniesz modyfikować popularne przepisy i właśnie wtedy stanie się to jeszcze bardziej zabawne."""
"""Checking things off the list is the best feeling.""";„Odznaczanie rzeczy z listy to najlepsze uczucie."""
"""Let's all just take a moment to breathe, please.""";„Zróbmy wszyscy na chwilę przerwę i weźmy oddech, proszę."""
"""She decided to take the bus because it was supposed to be quicker but then it ended up being twenty minutes late.""";„Zdecydowała się pojechać autobusem ponieważ miało być szybciej ale ostatecznie autobus spóźnił się dwadzieścia minut."""
"""She fell off the bull two seconds after she got on.""";„Spadła z byka dwie sekundy po tym, jak na niego wsiadła."""
"""Rosa crossed Mary's name off the list.""";„Rosa wykreśliła imię Mary z listy."""
